docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
44819423,2007,TW,OTHER,1,0.7285,0.668,cross:implanted neural probe|sleep staging,E,pre2010,0,,,
76877762,2021,CN,CN,1,0.7285,0.6895,cross:intracortical microelectrode|hearing restoration,E,2020+,0,,0,1
91589609,2023,WO,WO,1,0.7285,0.0,cross:implanted neural probe|sleep staging,E,2020+,0,,0,0
74182337,1999,UA,OTHER,1,0.7285,0.0,cross:intracortical microelectrode|anaesthesia depth,E,pre2010,0,,2,0
85200971,2022,US,US,4,0.7285,0.6797,cross:peripheral nerve stimulation|speech communication,E,2020+,0,,,
56011295,2014,KR,KR,2,0.7285,0.6855,cross:intracortical microelectrode|hearing restoration,E,2010s,0,,,
58560896,2016,CN,CN,1,0.7285,0.0,cross:peripheral nerve recording|anaesthesia depth,E,2010s,0,,2,0
22528452,1998,US,US,1,0.7285,0.6699,cross:intracortical microelectrode|prosthesis control,E,pre2010,0,,0,0
40817055,2007,JP,JP,1,0.7285,0.0,cross:vagus nerve|anaesthesia depth,E,pre2010,0,,,
23364873,1973,US,US,1,0.7285,0.0,cross:implanted neural probe|epilepsy,E,pre2010,0,,2,0
21712009,2001,US,US,3,0.7285,0.6836,cross:vagus nerve|anaesthesia depth,E,pre2010,0,,0,0
38322977,2006,US,US,3,0.7285,0.6797,cross:vagus nerve|anaesthesia depth,E,pre2010,0,,,
39105486,2007,DE,EP,3,0.7285,0.0,cross:vagus nerve|anaesthesia depth,E,pre2010,0,,,
70238668,2019,CN,CN,1,0.7285,0.0,cross:deep brain stimulation|anaesthesia depth,E,2010s,0,,2,0
27477460,1992,US,US,1,0.7285,0.0,cross:fNIRS|anaesthesia depth,E,pre2010,0,,,
36969046,2006,EP,EP,8,0.7285,0.6934,cross:peripheral nerve recording|anaesthesia depth,E,pre2010,0,,2,0
42137488,2009,CN,CN,5,0.7285,0.6895,cross:fNIRS|anaesthesia depth,E,pre2010,0,,,
46209079,2012,GB,EP,1,0.7285,0.7031,cross:fNIRS|anaesthesia depth,E,2010s,0,,2,0
54334516,2015,US,US,1,0.7285,0.6914,cross:fNIRS|prosthesis control,E,2010s,0,,0,0
88705394,2023,CN,CN,1,0.7285,0.0,cross:intracortical microelectrode|prosthesis control,E,2020+,0,,0,0
90729442,2023,UA,OTHER,1,0.7285,0.0,cross:in-ear EEG|motor restoration,E,2020+,0,,2,0
18886525,2001,JP,JP,2,0.7285,0.0,cross:intracortical microelectrode|prosthesis control,E,pre2010,0,,,
21867134,1998,US,US,1,0.7285,0.0,cross:intracortical microelectrode|prosthesis control,E,pre2010,0,,,
25543678,1997,US,US,1,0.7285,0.0,cross:intracortical microelectrode|prosthesis control,E,pre2010,0,,,
31993983,2003,CN,CN,9,0.7285,0.0,cross:intracortical microelectrode|prosthesis control,E,pre2010,0,,,
